79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(42)	EQ:	reichenbach	reichenbach	48.157690	7.925220	126.741012km	2849179
(42)	EQ:	reichenbach	reichenbach	47.880240	10.699680	82.559872km	2849180
(42)	EQ:	reichenbach	reichenbach	48.210140	8.280370	101.542029km	2849183
(5)	EQ:	steinheim	steinheim	51.870660	9.091360	0.000000km	2827990
(5)	EQ:	steinheim	steinheim	50.443790	8.923900	159.172712km	2827991
(5)	EQ:	steinheim	steinheim	48.595340	10.537260	378.628734km	2827992
(5)	EQ:	steinheim	steinheim	48.398780	10.105530	392.919787km	2827993
(5)	EQ:	steinheim	steinheim	48.014730	10.160810	435.689424km	2827994
(1)	EQ:	dransfeld	dransfeld	51.499100	9.761790	0.000000km	2935326
(1)	EQ:	visbek	visbek	52.833330	8.316670	0.000000km	2817139
(1)	EQ:	odelzhausen	odelzhausen	48.308890	11.198890	0.000000km	2858149
(3)	EQ:	selters	selters	50.532530	7.755770	0.000000km	2833138
(3)	EQ:	selters	selters	50.516810	8.289530	37.890535km	2833139
(3)	EQ:	selters	selters	50.340420	9.034710	93.339590km	2833140
(1)	EQ:	sassenburg	sassenburg	52.516670	10.633330	0.000000km	3208618
(1)	EQ:	harrislee	harrislee	54.800000	9.383330	0.000000km	2910302
(0)	No match: lutjenburg
(1)	EQ:	mildstedt	mildstedt	54.466670	9.100000	0.000000km	2871130
(1)	EQ:	biblis	biblis	49.691670	8.458610	0.000000km	2949367
(1)	EQ:	ostrach	ostrach	47.950000	9.383330	0.000000km	2856222
(2)	EQ:	rehau	rehau	50.249210	12.034220	0.000000km	2849446
(2)	EQ:	rehau	rehau	48.883620	10.847780	174.448072km	2849447
(1)	EQ:	ober-olm	ober-olm	49.937220	8.188890	0.000000km	2859481
(1)	EQ:	bellheim	bellheim	49.198330	8.279440	0.000000km	2951206
(1)	EQ:	hilchenbach	hilchenbach	50.996870	8.110620	0.000000km	2904808
(1)	EQ:	uslar	uslar	51.656900	9.635010	0.000000km	2818094
(1)	EQ:	salach	salach	48.691980	9.737150	0.000000km	2842331
(1)	EQ:	bruck in der oberpfalz	bruck in der oberpfalz	49.249270	12.307100	0.000000km	2943425
(1)	EQ:	gottmadingen	gottmadingen	47.735110	8.776870	0.000000km	2918612
