79484
Matches	Search_type	jot_city	geo_name_city	lat	lon	dist_from_first	geonameid
(42)<4>	EQ:	reichenbach	P	reichenbach	48.084720	8.295470	98.558210km	2849141
(42)<4>	EQ:	reichenbach	P	reichenbach	47.929190	8.225840	104.111861km	2849142
(42)<4>	EQ:	reichenbach	P	reichenbach	51.963210	14.679230	569.286184km	2849143
(42)<4>	EQ:	reichenbach	P	reichenbach	51.245180	13.979370	477.550288km	2849144
(42)<4>	EQ:	reichenbach	P	reichenbach	51.141440	14.802700	511.062489km	2849145
(42)<4>	EQ:	reichenbach	P	reichenbach	51.162320	9.776700	349.810389km	2849146
(42)<4>	EQ:	reichenbach	P	reichenbach	51.122970	13.497320	444.941931km	2849147
(42)<4>	EQ:	reichenbach	P	reichenbach	51.047110	13.090500	420.332942km	2849148
(42)<4>	EQ:	reichenbach	P	reichenbach	51.044910	10.537150	343.115029km	2849149
(42)<4>	EQ:	reichenbach	P	reichenbach	50.986960	13.239350	421.705750km	2849150
(42)<4>	EQ:	reichenbach	P	reichenbach	50.946440	12.084300	371.510027km	2849151
(42)<4>	EQ:	reichenbach	P	reichenbach	50.868610	11.878010	356.901759km	2849152
(42)<4>	EQ:	reichenbach	P	reichenbach	50.836190	12.658140	383.263247km	2849153
(42)<4>	EQ:	reichenbach	P	reichenbach	50.753870	10.466200	310.398463km	2849154
(42)<4>	EQ:	reichenbach	P	reichenbach	50.684710	11.436430	324.681348km	2849155
(42)<4>	EQ:	reichenbach	P	reichenbach	50.566230	11.376060	310.927695km	2849157
(42)<4>	EQ:	reichenbach	P	reichenbach	50.424270	11.413030	297.867037km	2849158
(42)<4>	EQ:	reichenbach	P	reichenbach	50.262910	10.154230	252.652972km	2849159
(42)<4>	EQ:	reichenbach	P	reichenbach	50.273410	8.375340	266.502860km	2849160
(42)<4>	EQ:	reichenbach	P	reichenbach	50.243000	11.499680	283.032726km	2849161
(42)<4>	EQ:	reichenbach	P	reichenbach	50.209280	12.123260	304.755026km	2849162
(42)<4>	EQ:	reichenbach	P	reichenbach	50.042800	9.135800	227.773786km	2849163
(42)<4>	EQ:	reichenbach	P	reichenbach	49.983310	11.947920	277.262901km	2849164
(42)<4>	EQ:	reichenbach	P	reichenbach	49.709990	11.624930	239.015960km	2849165
(42)<4>	EQ:	reichenbach	P	reichenbach	49.711010	8.692910	199.932275km	2849166
(42)<4>	EQ:	reichenbach	P	reichenbach	49.640730	7.286640	248.418629km	2849167
(42)<4>	EQ:	reichenbach	P	reichenbach	49.500000	7.533330	224.763901km	2849168
(42)<4>	EQ:	reichenbach	P	reichenbach	49.276000	10.153640	145.338074km	2849169
(42)<4>	EQ:	reichenbach	P	reichenbach	49.183330	12.350000	239.747579km	2849170
(42)<4>	EQ:	reichenbach	P	reichenbach	49.174830	10.262620	137.156161km	2849171
(42)<4>	EQ:	reichenbach	P	reichenbach	49.034720	10.544170	132.213415km	2849172
(42)<4>	EQ:	reichenbach	P	reichenbach	48.923800	8.476640	131.130284km	2849173
(42)<4>	EQ:	reichenbach	P	reichenbach	48.874820	10.189520	104.267454km	2849174
(42)<4>	EQ:	reichenbach	P	reichenbach	48.855460	9.992080	97.140204km	2849175
(42)<4>	EQ:	reichenbach	P	reichenbach	48.733170	13.170630	275.169216km	2849176
(42)<4>	EQ:	reichenbach	P	reichenbach	48.427270	8.016190	127.096803km	2849177
(42)<4>	EQ:	reichenbach	P	reichenbach	48.329010	7.927260	130.089538km	2849178
(42)<4>	EQ:	reichenbach	P	reichenbach	48.157690	7.925220	126.741012km	2849179
